trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
2,98.0,98%_accuracy,0.01,0.01,14,Deterministic,35,1,1,0,35,0.17515752050611708,9,18,50.0
2,98.0,98%_accuracy,0.01,0.01,15,Minimax,33,0,1,0,33,0.33171740700216856,10,17,58.82352941176471
2,98.0,98%_accuracy,0.01,0.01,16,Deterministic,34,2,1,0,34,0.15309231811099583,8,18,44.44444444444444
2,98.0,98%_accuracy,0.01,0.01,17,Minimax,23,0,1,0,23,0.26590635379155475,6,12,50.0
2,98.0,98%_accuracy,0.01,0.01,18,Deterministic,35,1,1,0,35,0.17420030964745414,8,18,44.44444444444444
2,98.0,98%_accuracy,0.01,0.01,19,Minimax,13,0,1,0,13,0.3887250764029367,5,7,71.42857142857143
2,98.0,98%_accuracy,0.01,0.01,20,Deterministic,39,3,0,0,39,0.1274107297261556,9,21,42.857142857142854
2,98.0,98%_accuracy,0.01,0.01,21,Minimax,13,0,1,0,13,0.4153876645224435,5,7,71.42857142857143
2,98.0,98%_accuracy,0.01,0.01,22,Deterministic,28,0,1,0,28,0.19544363021850586,7,14,50.0
2,98.0,98%_accuracy,0.01,0.01,23,Minimax,22,0,0,1,22,0.5549888177351519,6,11,54.54545454545454
2,98.0,98%_accuracy,0.01,0.01,24,Deterministic,42,0,0,0,42,0.21081858589535668,12,21,57.14285714285714
2,98.0,98%_accuracy,0.01,0.01,25,Minimax,21,0,1,0,21,0.5609469413757324,7,11,63.63636363636363
2,98.0,98%_accuracy,0.01,0.01,26,Deterministic,30,0,1,0,30,0.221411927541097,8,15,53.333333333333336
2,98.0,98%_accuracy,0.01,0.01,27,Minimax,31,1,0,1,31,0.33080075681209564,6,16,37.5
2,98.0,98%_accuracy,0.01,0.01,28,Deterministic,35,1,1,0,35,0.15218793021308052,8,18,44.44444444444444
2,98.0,98%_accuracy,0.01,0.01,29,Minimax,24,1,1,0,24,0.512877317575308,6,13,46.15384615384615
3,96.0,96%_accuracy,0.02,0.02,0,Deterministic,41,1,0,0,41,0.13107489404224215,13,21,61.904761904761905
3,96.0,96%_accuracy,0.02,0.02,1,Minimax,21,0,1,0,21,0.5481606830250133,7,11,63.63636363636363
3,96.0,96%_accuracy,0.02,0.02,2,Deterministic,39,3,0,0,39,0.16623732021876744,8,21,38.095238095238095
3,96.0,96%_accuracy,0.02,0.02,3,Minimax,30,2,0,1,30,0.33330783247947693,6,16,37.5
3,96.0,96%_accuracy,0.02,0.02,4,Deterministic,39,3,0,0,39,0.16750359535217285,9,21,42.857142857142854
3,96.0,96%_accuracy,0.02,0.02,5,Minimax,35,1,0,1,35,0.17756643560197619,9,18,50.0
3,96.0,96%_accuracy,0.02,0.02,6,Deterministic,32,1,0,1,32,0.10520212352275848,5,16,31.25
3,96.0,96%_accuracy,0.02,0.02,7,Minimax,16,0,0,1,16,0.2576126754283905,4,8,50.0
3,96.0,96%_accuracy,0.02,0.02,8,Deterministic,30,0,1,0,30,0.10071972211201986,8,15,53.333333333333336
3,96.0,96%_accuracy,0.02,0.02,9,Minimax,38,1,1,0,38,0.128224515914917,12,20,60.0
3,96.0,96%_accuracy,0.02,0.02,10,Deterministic,41,1,0,0,41,0.07507870310828799,12,21,57.14285714285714
3,96.0,96%_accuracy,0.02,0.02,11,Minimax,24,2,0,1,24,0.17154717445373535,7,13,53.84615384615385
3,96.0,96%_accuracy,0.02,0.02,12,Deterministic,28,0,1,0,28,0.1063011714390346,9,14,64.28571428571429
3,96.0,96%_accuracy,0.02,0.02,13,Minimax,23,1,0,1,23,0.20185895760854086,6,12,50.0
3,96.0,96%_accuracy,0.02,0.02,14,Deterministic,28,0,1,0,28,0.11170925412859235,9,14,64.28571428571429
3,96.0,96%_accuracy,0.02,0.02,15,Minimax,40,2,0,0,40,0.12711939357575916,11,21,52.38095238095239
3,96.0,96%_accuracy,0.02,0.02,16,Deterministic,26,1,0,1,26,0.15154752364525428,7,13,53.84615384615385
3,96.0,96%_accuracy,0.02,0.02,17,Minimax,14,1,1,0,14,0.3788454532623291,5,8,62.5
3,96.0,96%_accuracy,0.02,0.02,18,Deterministic,40,1,0,1,40,0.14822185039520264,5,20,25.0
3,96.0,96%_accuracy,0.02,0.02,19,Minimax,19,1,0,1,19,0.217071795463562,4,10,40.0
