trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
2,90.0,90%_accuracy,0.05,0.05,17,Minimax,1,1,0,1,1,0.0,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,18,Deterministic,16,0,1,0,16,7.450445592403412,3,8,37.5
2,90.0,90%_accuracy,0.05,0.05,19,Minimax,2,0,0,1,2,17.363266944885254,1,1,100.0
2,90.0,90%_accuracy,0.05,0.05,20,Deterministic,1,0,0,1,1,0,0,0,0
2,90.0,90%_accuracy,0.05,0.05,21,Minimax,2,0,0,1,2,4.380165100097656,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,22,Deterministic,2,0,1,0,2,1.6174089908599854,1,1,100.0
2,90.0,90%_accuracy,0.05,0.05,23,Minimax,3,0,1,0,3,5.504848957061768,1,2,50.0
2,90.0,90%_accuracy,0.05,0.05,24,Deterministic,6,0,1,0,6,8.613808870315552,0,3,0.0
2,90.0,90%_accuracy,0.05,0.05,25,Minimax,9,0,1,0,9,6.861720895767212,1,5,20.0
2,90.0,90%_accuracy,0.05,0.05,26,Deterministic,10,0,1,0,10,2.5097493171691894,4,5,80.0
2,90.0,90%_accuracy,0.05,0.05,27,Minimax,8,0,0,1,8,11.681952714920044,0,4,0.0
2,90.0,90%_accuracy,0.05,0.05,28,Deterministic,3,0,0,1,3,9.660782098770142,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,29,Minimax,7,0,1,0,7,4.349238097667694,3,4,75.0
3,80.0,80%_accuracy,0.1,0.1,0,Deterministic,18,0,1,0,18,8.486553324593437,5,9,55.55555555555556
3,80.0,80%_accuracy,0.1,0.1,1,Minimax,3,0,1,0,3,64.7680127620697,2,2,100.0
3,80.0,80%_accuracy,0.1,0.1,2,Deterministic,12,0,1,0,12,16.08458415667216,3,6,50.0
3,80.0,80%_accuracy,0.1,0.1,3,Minimax,15,0,1,0,15,9.976145923137665,0,8,0.0
3,80.0,80%_accuracy,0.1,0.1,4,Deterministic,28,0,1,0,28,13.606207575116839,3,14,21.428571428571427
3,80.0,80%_accuracy,0.1,0.1,5,Minimax,19,0,1,0,19,7.726040172576904,3,10,30.0
3,80.0,80%_accuracy,0.1,0.1,6,Deterministic,6,0,1,0,6,2.286938746770223,1,3,33.33333333333333
3,80.0,80%_accuracy,0.1,0.1,7,Minimax,1,0,1,0,1,0.16736221313476562,1,1,100.0
3,80.0,80%_accuracy,0.1,0.1,8,Deterministic,12,0,1,0,12,7.297764937082927,2,6,33.33333333333333
3,80.0,80%_accuracy,0.1,0.1,9,Minimax,7,1,0,1,7,0.332309365272522,0,4,0.0
3,80.0,80%_accuracy,0.1,0.1,10,Deterministic,2,0,1,0,2,6.865347146987915,1,1,100.0
3,80.0,80%_accuracy,0.1,0.1,11,Minimax,2,0,0,1,2,3.6318185329437256,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,12,Deterministic,5,0,0,1,5,18.782898664474487,0,2,0.0
3,80.0,80%_accuracy,0.1,0.1,13,Minimax,5,0,1,0,5,0.10827954610188802,0,3,0.0
3,80.0,80%_accuracy,0.1,0.1,14,Deterministic,3,2,0,1,3,0.0,0,2,0.0
3,80.0,80%_accuracy,0.1,0.1,15,Minimax,7,0,1,0,7,3.296544849872589,2,4,50.0
3,80.0,80%_accuracy,0.1,0.1,16,Deterministic,6,1,0,1,6,0.5523289839426676,1,3,33.33333333333333
3,80.0,80%_accuracy,0.1,0.1,17,Minimax,1,1,0,1,1,0.0,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,18,Deterministic,14,0,1,0,14,12.904949869428362,3,7,42.857142857142854
3,80.0,80%_accuracy,0.1,0.1,19,Minimax,1,1,0,1,1,0.0,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,20,Deterministic,1,0,0,1,1,0,0,0,0
3,80.0,80%_accuracy,0.1,0.1,21,Minimax,2,0,0,1,2,30.72309112548828,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,22,Deterministic,6,0,1,0,6,15.131156841913858,1,3,33.33333333333333
